Time_Months,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
20,0.11993020020146075,0.12012539422686191,0.14056421393281743,0.16634673104101103,0.04156899683646067,0.047836795566798616,0.07746316982396838,0.10544632734827125,0.05078657300635718,0.10472918456954128,0.11554449708350076,0.11106801541425819,0.013553831478537361,0.3004841594921858,0.9692492967449337,0.006059665729114385,0.0011825969887359273,2.5211782544447373e-05,0.06651796450199647,0.10082998110594178,0.10082998110594178,0.11631401643879359,0.08653727798739927,0.007740527032271013,0.005758685398508633,0.04894176553216738,0.04894176553216738,0.07441477100728565,0.08482510246408109,0.015715977117281787
21,0.12450971810240435,0.12670419536930613,0.14658023595748298,0.1713613128161623,0.04250994555517732,0.04967700424895893,0.07911460819844238,0.1078576495028936,0.05477043783661864,0.10582855684585897,0.13405608704862626,0.11286242774566474,0.013691120826709062,0.30510360404096903,0.9841498937941329,0.007075741659821919,0.001182787456493052,2.558476138599255e-05,0.07053732569861311,0.10262836296732974,0.10262836296732974,0.11701994527187431,0.08867075628677476,0.009233846768374047,0.013509322766264365,0.04926960956311798,0.04926960956311798,0.07481040709973164,0.09524634651222784,0.015758575080605085
22,0.12851336287925738,0.13512011064266372,0.14981366766504817,0.17319911838447682,0.04388192808997674,0.052267337922795205,0.08336849195508618,0.11542625018548747,0.07011984847524688,0.10906046678455224,0.1515104930822935,0.11607504816955684,0.013726534181240063,0.3078708017781961,0.9930758367300074,0.008735900770827611,0.0011828220869943473,2.6298976188951398e-05,0.07283283981373247,0.10397160150284003,0.10397160150284003,0.11794793026445348,0.09221241186991076,0.010030896228176807,0.018392890337424,0.0500441334988178,0.0500441334988178,0.07502637405436098,0.10428841950551812,0.0157911770282598
23,0.13956110268283933,0.17228043671953155,0.15874664034814287,0.19546338788868348,0.05602560809092163,0.07033203177161866,0.10155795578820447,0.14954419053272,0.08540529988247912,0.13293636090226962,0.19165735043704366,0.12666512524084778,0.013778275039745628,0.31022723845666783,1.0006768184166714,0.012268171045364325,0.0011829259784982334,2.7433784153652682e-05,0.0737490595787987,0.1048734481615557,0.1048734481615557,0.12510921928231608,0.09450068033915317,0.02572146813351197,0.027535604139620133,0.058309937380171435,0.058309937380171435,0.07703802130590849,0.11243366019213848,0.015977424630544534
24,0.21348273542794272,0.23787717284213467,0.21388447378077682,0.2570227011215011,0.07391530421032369,0.10051686550849016,0.1820895415490356,0.28589547410595045,0.11791772096583966,0.21036796944861402,0.2567665376597249,0.19946589595375722,0.021810222575516694,0.369029990149085,1.1903524599575177,0.016686603678185984,0.0011829779242501766,2.9846243043647015e-05,0.07587748824011406,0.11979488069446484,0.11979488069446484,0.1853858283298788,0.11330619509598168,0.13304358399675548,0.1291648170005445,0.060787415807025916,0.060787415807025916,0.08544222974960977,0.13777579493498546,0.01974109687486347
25,0.2271759659001367,0.24380774673882788,0.22614341388148876,0.27133648714258074,0.07821910409927149,0.1075126673975876,0.21192717503270547,0.33948547262205075,0.17713856321785573,0.2318302158828239,0.28019139318702935,0.23517745664739884,0.03984823529411765,0.3820360384252514,1.2323050978816235,0.0632176978940309,0.001183618588524141,3.717884835402453e-05,0.08395263035710294,0.13547539509858553,0.13547539509858553,0.19693558074699638,0.16012695200264948,0.1616849544760958,0.15676567706161565,0.06194778539198893,0.06194778539198893,0.08897241992792608,0.16705729030651953,0.02140029185493334
26,0.23030906067781548,0.24729827348794126,0.23030014405308813,0.2732358113521811,0.08249000171682365,0.11286465526963389,0.24275620207040402,0.3828932037394272,0.2535364715683857,0.243039665403259,0.31390515786823886,0.23967745664739884,0.05218616057233704,0.3828790245188819,1.2350242551237154,0.25831727374079766,0.0011842073070461624,5.2312266456719255e-05,0.08527168155507911,0.1409096356337861,0.1409096356337861,0.19997247972786128,0.1815703862917114,0.22569124662380552,0.19352975565249486,0.06270502686874385,0.06270502686874385,0.09011767165783555,0.17620019438915538,0.021566518701697953
27,0.2335344711875392,0.25583180525124954,0.2336194209021254,0.2759156562249181,0.08952454952361308,0.1215954710737132,0.272944084395547,0.42789575604689123,0.2968598408047042,0.2512303763885998,0.3272245882881526,0.24093612716763005,0.06266414149443561,0.3833543376849231,1.2365574372811299,0.3336318236225207,0.0011843285138006963,5.5978569111908016e-05,0.08597927666523532,0.14324576360688832,0.14324576360688832,0.20073182063438055,0.1861578563648708,0.2800854333180389,0.2336962720010489,0.06392191430969053,0.06392191430969053,0.09085282883344883,0.17823404425377387,0.021658349914607314
28,0.2433269193711614,0.26918192038521976,0.23774973190548593,0.28598980963439496,0.09276985240800335,0.12434383014613792,0.28883028823858226,0.44089434634218727,0.316023907826146,0.26031375054599565,0.3312464036220953,0.2416134874759152,0.07037722575516693,0.3840808736991569,1.2389009702049487,0.3499268519187474,0.001184345829051344,5.7954563400094164e-05,0.08610287037308334,0.14593113980925154,0.14593113980925154,0.20423531191212702,0.1937069504552709,0.31713935532425735,0.2853340609268795,0.06673182294196685,0.06673182294196685,0.09182690450802708,0.1787160747225245,0.022062441720428046
29,0.2564034301693326,0.27775970683792867,0.2461059775769883,0.3009675326897292,0.094397811802101,0.12715633236928123,0.3070954353984697,0.4642427214720285,0.3385473722084285,0.2689253768518368,0.3376086422282199,0.24269739884393063,0.07418364069952305,0.386825290433537,1.2477534301624662,0.3547441406555149,0.001184397774803287,5.91052428048612e-05,0.0861754002708013,0.1522304608127524,0.1522304608127524,0.20725769626160181,0.20875973212459945,0.34498171708870856,0.31705487454249764,0.06733320193044223,0.06733320193044223,0.09562806446087833,0.17931584422199026,0.022841068147808095
30,0.2708736303095868,0.28799922222630886,0.25793606938702895,0.3172520045443008,0.09737258489946037,0.13386535606271147,0.34882345833643635,0.5044847009942128,0.36985962065952854,0.2793271656669778,0.3464026189430986,0.2446738921001927,0.10171209856915739,0.39187129146297134,1.2640299385728229,0.38278326319989586,0.0011845016663071732,6.450946814724982e-05,0.08799579117051837,0.15917384643560628,0.15917384643560628,0.21153099402612288,0.22188226625154234,0.39142255266691967,0.3634871567067073,0.06753013765773616,0.06753013765773616,0.10025517668543706,0.18840017521180308,0.023257166662104308
31,0.2807653242281526,0.29643632430846234,0.2683429914835924,0.32695862469761267,0.10038356455615469,0.13736465649418494,0.36254646193627693,0.5155933076124054,0.3861719637159905,0.28177589138707915,0.3496746185307603,0.24705423892100192,0.15076985691573927,0.39543139268288247,1.2755134910155577,0.45051441004551146,0.0011847787103175362,7.15881304165753e-05,0.08963801235267975,0.16197754720036703,0.16197754720036703,0.21414004327041727,0.2358429899329893,0.4210092637254084,0.38419438721247356,0.0676450112116791,0.0676450112116791,0.10266498773255121,0.1976764575780759,0.023366002591323442
32,0.2850357741166061,0.3030165610057081,0.27337707821497687,0.33197724580996535,0.10323031407186559,0.1400366269052994,0.3724859457802989,0.5283912301528416,0.40019417224963444,0.28347496926553667,0.3519629544885175,0.24936811175337187,0.16926805246422894,0.39680869118039613,1.2799561398472932,0.4788670671295506,0.0011848652865707747,7.97936649305692e-05,0.08987240107499976,0.16311920915740938,0.16311920915740938,0.2148081367076488,0.24190512539599265,0.4295519832620838,0.39121149414208367,0.06776539829154885,0.06776539829154885,0.10388880047545085,0.20007089952749893,0.02345323793495989
33,0.28765045915189463,0.30949388327424704,0.27525644177378294,0.33395731033443066,0.1059390568381114,0.143192003425011,0.39012181882170893,0.5495402730375427,0.42732948885173416,0.28534996529259526,0.3553445200956056,0.25159730250481693,0.17746098569157392,0.39737399820651215,1.281779608473506,0.49469641890253874,0.0011850384390772516,9.430809687069958e-05,0.08997957673804262,0.16385418012319822,0.16385418012319822,0.21503946364542845,0.24901317997231773,0.43462339259957516,0.39681317618829387,0.06792104158766615,0.06792104158766615,0.10491343021244233,0.20061447917131928,0.023624462789558796
34,0.2919113233794043,0.3158607668268432,0.2774234997815272,0.3361229057951814,0.10768126023011061,0.14556996495801364,0.40221850129571846,0.564571123312064,0.4380496759240766,0.2871183544992291,0.35684910106148376,0.25305260115606937,0.19726,0.3975450781985954,1.2823314484183936,0.5244401187557212,0.0011879820316873589,0.00029563731410476625,0.09000405498323437,0.16573059663595144,0.16573059663595144,0.21522470220335202,0.257373836987799,0.4457893097899446,0.4096551224551313,0.06815004681438758,0.06815004681438758,0.10559156240565348,0.20061447917131928,0.023714599275673768
35,0.2993329771042062,0.32542562096036737,0.2817373039170191,0.34072055368448606,0.10921241101798644,0.14977693927777844,0.41685854144617923,0.5861134886481674,0.4489383746678676,0.2889927169675293,0.3589206029501424,0.2576938342967245,0.23239011923688394,0.3975985601623104,1.282503961191802,0.5623112093821894,0.001227235704905672,0.0006607915356975272,0.09002112784490994,0.17092294245425033,0.17092294245425033,0.2188509704469272,0.2635213450622328,0.4683971542309685,0.42464108494854214,0.06827333397517295,0.06827333397517295,0.10586101555831604,0.20061447917131928,0.023755014201092432
36,0.30355076908742207,0.33235355893093543,0.2860468192264982,0.3456165553767362,0.11091587690669717,0.1519182708965848,0.42199943710836574,0.5895408962754117,0.45386346373956676,0.2899899384533568,0.36100659972494187,0.2594853564547206,0.2587841573926868,0.39763635349008036,1.2826258683047247,0.583173587147413,0.001248966344468523,0.0008193472219543917,0.09005934533861884,0.17324370060725186,0.17324370060725186,0.2220812724658726,0.26778233813297947,0.4745607258256393,0.42834405915179874,0.06838738134327364,0.06838738134327364,0.1061037761660244,0.2020738740209208,0.02378253196836399
37,0.30597260276467153,0.3357410722475625,0.28945303915646686,0.3490036556930256,0.11206844066152688,0.15349794176291734,0.4240397037550668,0.5909953257159816,0.4585375692909193,0.2906627356175985,0.36242183975134434,0.2599062620423892,0.26412742448330684,0.3976694304383546,1.2827325621447845,0.5895262777961598,0.001248966344468523,0.0008193472219543917,0.09010168222573064,0.17431801668895244,0.17431801668895244,0.22223593294364202,0.2702591377857975,0.4776870846761884,0.43018948463687023,0.06851564248004803,0.06851564248004803,0.10636554510120014,0.2020738740209208,0.023826077829724825
38,0.30678412127929977,0.33635237108358995,0.2904811565282537,0.35168187554504937,0.11257955073213881,0.1539814644954249,0.42448166785693137,0.5915821041697581,0.45950046566861513,0.2908125300267254,0.36323691194640967,0.2600519267822736,0.26486834658187597,0.3976952459419715,1.2828158332854929,0.5912549181808107,0.001248966344468523,0.0008193472219543917,0.09015412710416919,0.17442677216225147,0.17442677216225147,0.22225434174442946,0.27161704357471445,0.47952670274879816,0.43113195375929486,0.06857455458888065,0.06857455458888065,0.1064883914728643,0.2020738740209208,0.02384471982446307
