D,r,gamma,region_index
3551.475583602321,0.14315355590039647,0.07068297668704387,55
3578.216234746252,0.1451912134822506,0.050963201539985334,56
3563.226192994563,0.16016459745268985,0.07213395687096043,57
3546.627324436495,0.28450037098946146,0.07216430155034613,58
3563.7018768541866,0.1424050197511757,0.07084029167047452,59
3546.4684672057233,0.1422199828571249,0.07047957176452851,60
3538.187924157853,0.2837907755063236,0.06998064401218908,61
3544.849969802388,0.2799264775378732,0.07060003641593507,62
3568.515669330232,0.2865196578763786,0.03545645006667192,63
3552.6313864782333,0.14255193022601637,0.07026203308010286,64
3565.5322800859562,0.14322885838503197,0.07047768034612917,65
3545.715178823391,0.14083816080196512,0.07255601032782794,66
3518.0879642716886,0.1410894202358663,0.07142419959840694,67
3546.6268491563906,0.28361373333656903,0.07058326015924775,68
3541.666933340963,0.14437933765198205,0.06974888710922983,69
3552.7084144661867,0.14223587624564052,0.07056005865057895,70
3551.93844930431,0.1426928119942851,0.07027115151191125,71
3641.3397683410894,0.14623058699182664,0.08080330206770188,72
3549.658789444689,0.13948492882980731,0.07222399862823331,73
3541.4635611173394,0.14190143350845089,0.07069954148933986,74
3547.064381832428,0.2811037803277491,0.07059281626575593,75
3555.712518756631,0.14232431526185507,0.0710613849174668,76
3550.5429956381986,0.14215261439320193,0.07065524561614824,77
3464.8470568920584,0.15004620704470598,0.05536392083073137,78
3542.301973683609,0.27589624152359243,0.070665310127263,79
3494.3950075387784,0.3124755224974693,0.07038304439544939,80
3514.4040555759175,0.14106915093001263,0.07143710871149538,81
3544.446102987835,0.14272332709630683,0.07132674254608413,82
3529.066412197562,0.14135728205319104,0.07112606689738284,83
3566.4481666625106,0.139487642440486,0.07320848654979291,84
3345.7912933063753,0.30037080505336544,0.07625704846802012,85
3633.600817284182,0.14552024873689642,0.03680538082220465,86
3549.6862322684538,0.1431139569265168,0.06968390619174585,87
3511.388677281461,0.2849515687098268,0.07030205307734846,88
3553.4457625274995,0.14217489857382312,0.0706768709460325,89
3537.036107847637,0.2801492255214158,0.07088234583986575,90
3445.9895547756605,0.284402658824061,0.07102447595079593,91
3530.9077570496556,0.13986555732051847,0.07083394127221465,92
3548.737383274882,0.1555032214219478,0.07580984448666798,93
3538.2248227407763,0.15545565014144674,0.07090900413876074,94
3553.5600094623774,0.14333456858287136,0.036362199606278546,95
3537.542608793502,0.2794201781784363,0.07062172562445476,96
3548.531321970142,0.142119503082586,0.07073843542456909,97
3559.2898895625613,0.14201484171060183,0.07107109370400069,98
3551.5556947650157,0.28698148780442734,0.07038717525974135,99
3511.6591841983804,0.27798843981452886,0.07103396185074366,100
3534.832459614219,0.2763761231976632,0.07055091089906382,101
3611.1446476896176,0.14517172264571485,0.03742632973895214,102
3549.817583497162,0.14340192948020167,0.06965566329436475,103
3558.908856853311,0.13014477522162618,0.07269602979816465,104
4029.169759495617,0.2261247513993182,0.04395724888055231,105
3541.501945834663,0.1396415451988152,0.07209620808157606,106
3547.0993155417736,0.14079822534622438,0.07094364517286664,107
3591.9515585247364,0.2715242391921942,0.037408963452077705,108
3555.5464796397573,0.14303742834835678,0.07075057344058935,109
3531.5220990197568,0.2862802317983025,0.07612072471512944,110
3491.2472105027273,0.2963512580541976,0.07055419658259597,111
3618.5738668775493,0.2700136734501486,0.037082302243790985,112
4029.169759495617,0.2261247513993182,0.04395724888055231,113
3541.501945834663,0.1396415451988152,0.07209620808157606,114
3547.0993155417736,0.14079822534622438,0.07094364517286664,115
3591.9515585247364,0.2715242391921942,0.037408963452077705,116
3555.5464796397573,0.14303742834835678,0.07075057344058935,117
3531.5220990197568,0.2862802317983025,0.07612072471512944,118
3491.2472105027273,0.2963512580541976,0.07055419658259597,119
3618.5738668775493,0.2700136734501486,0.037082302243790985,120
3530.697252175445,0.14170728736517568,0.07093771327855469,121
3521.86369112117,0.24522260323068967,0.048433545893277336,122
3518.2697849858682,0.14133717208166863,0.07118580262644454,123
3530.935779467654,0.14174042410907742,0.07092676066652241,124
3517.922519309806,0.14132048899409835,0.07119342342134413,125
3488.094267131448,0.14032594529314857,0.07181061676910527,126
3488.123183874796,0.1403201034545125,0.07181191097586766,127
